COUNTRY,HOLDER NAME,ISSUER,ISIN,NET SHORT POSITION (%),POSITION DATE,POSITION CLOSE DATE,MARKET VALUE,NO SHARES,PROCESS DATE,REMARKS
AUSTRIA,"AXIAL CAPITAL MANAGEMENT, LLC",ÖSTERREICHISCHE POST AKTIENGESELLSCHAFT,AT0000APOST4,0.47,12/14/2012,,,,2/27/2013,
AUSTRIA,"CASTLE CREEK ARBITRAGE, LLC",CONWERT IMMOBILIEN INVEST SE,AT0000697750,1.43,11/6/2012,,,,2/27/2013,
AUSTRIA,CQS (UK) LLP,CA IMMOBILIEN ANLAGEN AKTIENGESELLSCHAFT,AT0000641352,0.72,1/4/2013,,,,2/27/2013,
AUSTRIA,CQS (UK) LLP,CONWERT IMMOBILIEN INVEST SE,AT0000697750,1.26,2/22/2013,,,,2/27/2013,
AUSTRIA,JABRE CAPITAL PARTNERS SA,A-TEC INDUSTRIES AG,AT00000ATEC9,3.41,11/1/2012,,,,2/27/2013,
AUSTRIA,LAZARD ASSET MANAGEMENT LLC,CONWERT IMMOBILIEN INVEST SE,AT0000697750,0.56,2/8/2013,,,,2/27/2013,
AUSTRIA,"WELLINGTON MANAGMENT COMPANY, LLP",RAIFFEISEN BANK INTERNATIONAL AG,AT0000606306,0.54,11/1/2012,,,,2/27/2013,
BELGIUM,ENNISMORE FUND MANAGEMENT LIMITED PLC,AGFA GEVAERT NV,BE0003755692,0.82,11/1/2012,,,,2/27/2013,
BELGIUM,TT INTERNATIONAL,BEKAERT,BE0974258874,0.54,11/1/2012,,,,2/27/2013,
BELGIUM,EGERTON CAPITAL LIMITED AS GENERAL PARTNER OF EGERTON CAPITAL LIMITED PARTNERSHIP,BEKAERT,BE0974258874,1.01,2/14/2013,,,,2/27/2013,
BELGIUM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BELGACOM,BE0003810273,0.71,2/22/2013,,,,2/27/2013,
