"holder","issuer","isin","position","date"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.59,"2013-03-20"
"Meditor Capital Management Limited","HUGO BOSS AG","DE000A1PHFF7",0.63,"2013-03-20"
"JHL Capital Group LLC","Silver Bay Realty Trust Corp","US82735Q1022",1.61,"2013-03-20"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.57,"2013-03-19"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.51,"2013-03-19"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.65,"2013-03-19"
"Maverick Capital, Ltd.","AIXTRON SE","DE000A0WMPJ6",6.98,"2013-03-19"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.59,"2013-03-19"
"BlackRock Institutional Trust Company, National Association","Evotec AG","DE0005664809",0.8,"2013-03-18"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",1.26,"2013-03-18"
"Highbridge Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.81,"2013-03-18"
"Maverick Capital, Ltd.","AIXTRON SE","DE000A0WMPJ6",7.17,"2013-03-18"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.58,"2013-03-18"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.41,"2013-03-15"
"Highbridge Capital Management, LLC","Drillisch Aktiengesellschaft","DE0005545503",0.59,"2013-03-15"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.11,"2013-03-15"
"BlackRock Institutional Trust Company, National Association","STRATEC Biomedical AG","DE0007289001",0.6,"2013-03-15"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.91,"2013-03-15"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",1.25,"2013-03-15"
"Highbridge Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.78,"2013-03-15"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.51,"2013-03-15"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",0.62,"2013-03-15"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",2.12,"2013-03-15"
