COUNTRY,POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
UNITED KINGDOM,Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.52%,2012-11-01
UNITED KINGDOM,Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.61%,2012-11-09
UNITED KINGDOM,Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.71%,2012-11-28
UNITED KINGDOM,Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.84%,2013-02-15
UNITED KINGDOM,"TIG Advisors, LLC",A.G. Barr PLC,GB00B6XZKY75,0.50%,2012-12-31
UNITED KINGDOM,"TIG Advisors, LLC",A.G. Barr PLC,GB00B6XZKY75,0.49%,2013-01-16
UNITED KINGDOM,Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.48%,2012-11-05
UNITED KINGDOM,Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.50%,2012-11-07
UNITED KINGDOM,Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.49%,2012-11-08
UNITED KINGDOM,Henderson Global Investors,ABCAM plc,GB00B6774699 ,0.50%,2012-11-01
UNITED KINGDOM,CQS (UK) LLP,Aberdeen Asset Management Plc,GB0000031285,0.71%,2012-11-01
UNITED KINGDOM,CQS (UK) LLP,Aberdeen Asset Management Plc,GB0000031285,0.00%,2012-11-02
UNITED KINGDOM,Ferox Capital LLP,Aberdeen Asset Management Plc,GB0000031285,1.18%,2012-11-01
UNITED KINGDOM,Ferox Capital LLP,Aberdeen Asset Management Plc,GB0000031285,0.09%,2012-11-14
UNITED KINGDOM,"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.90%,2012-11-01
UNITED KINGDOM,"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.79%,2012-12-18
UNITED KINGDOM,"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.69%,2013-01-14
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Admiral Group plc,GB00B02J6398,0.59%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Admiral Group plc,GB00B02J6398,0.46%,2012-11-06
UNITED KINGDOM,"Eminence Capital, LLC",Admiral Group PLC,GB00B02J6398,0.59%,2012-11-01
UNITED KINGDOM,"Eminence Capital, LLC",Admiral Group PLC,GB00B02J6398,0.65%,2013-02-05
UNITED KINGDOM,Steadfast Capital Management LP,Admiral Group PLC,GB00B02J6398,1.06%,2012-11-01
UNITED KINGDOM,Steadfast Capital Management LP,Admiral Group PLC,GB00B02J6398,0.91%,2012-11-08
UNITED KINGDOM,UBS O'Connor Limited,Afren plc,GB00B0672758,0.70%,2012-11-05
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.61%,2012-11-09
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.54%,2012-11-12
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.43%,2012-11-13
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.50%,2013-01-04
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.72%,2013-01-23
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.66%,2013-01-24
UNITED KINGDOM,UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.48%,2013-01-25
UNITED KINGDOM,Fox-Davies Capital Limited,African Medical Investments PLC,IM00B39HQT38,0.63%,2013-02-15
UNITED KINGDOM,Fox-Davies Capital Limited,African Medical Investments PLC,IM00B39HQT38,0.29%,2013-02-20
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.61%,2012-11-01
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.55%,2012-11-21
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.64%,2012-12-27
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.70%,2012-12-28
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.80%,2013-01-09
UNITED KINGDOM,Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.92%,2013-02-04
UNITED KINGDOM,"AQR Capital Management, LLC",Aggreko PLC,GB00B4WQ2Z29,0.60%,2012-11-01
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.28%,2012-11-01
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.31%,2012-11-15
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.45%,2012-11-19
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.62%,2012-11-20
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.75%,2012-12-27
UNITED KINGDOM,Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.88%,2013-01-02
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,AMLIN PLC,GB00B2988H17,0.51%,2012-11-15
