POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.52%,2012-11-01
Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.61%,2012-11-09
Clearance capital LLP,A&J Mucklow Group,GB0006091408,0.71%,2012-11-28
"TIG Advisors, LLC",A.G. Barr PLC,GB00B6XZKY75,0.50%,2012-12-31
"TIG Advisors, LLC",A.G. Barr PLC,GB00B6XZKY75,0.49%,2013-01-16
Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.48%,2012-11-05
Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.50%,2012-11-07
Henderson Alternative Investment Limited,Abcam PLC,GB00B6774699,0.49%,2012-11-08
Henderson Global Investors,ABCAM plc,GB00B6774699 ,0.50%,2012-11-01
CQS (UK) LLP,Aberdeen Asset Management Plc,GB0000031285,0.71%,2012-11-01
CQS (UK) LLP,Aberdeen Asset Management Plc,GB0000031285,0.00%,2012-11-02
Ferox Capital LLP,Aberdeen Asset Management Plc,GB0000031285,1.18%,2012-11-01
Ferox Capital LLP,Aberdeen Asset Management Plc,GB0000031285,0.09%,2012-11-14
"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.90%,2012-11-01
"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.79%,2012-12-18
"AQR Capital Management, LLC",Admiral Group PLC,GB00B02J6398,0.69%,2013-01-14
BlackRock Investment Management (UK) Limited,Admiral Group plc,GB00B02J6398,0.59%,2012-11-01
BlackRock Investment Management (UK) Limited,Admiral Group plc,GB00B02J6398,0.46%,2012-11-06
"Eminence Capital, LLC",Admiral Group PLC,GB00B02J6398,0.59%,2012-11-01
"Eminence Capital, LLC",Admiral Group PLC,GB00B02J6398,0.65%,2013-02-05
Steadfast Capital Management LP,Admiral Group PLC,GB00B02J6398,1.06%,2012-11-01
Steadfast Capital Management LP,Admiral Group PLC,GB00B02J6398,0.91%,2012-11-08
UBS O'Connor Limited,Afren plc,GB00B0672758,0.70%,2012-11-05
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.61%,2012-11-09
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.54%,2012-11-12
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.43%,2012-11-13
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.50%,2013-01-04
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.72%,2013-01-23
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.66%,2013-01-24
UBS O'Connor Limited,AFREN PLC,GB00B0672758,0.48%,2013-01-25
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.61%,2012-11-01
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.55%,2012-11-21
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.64%,2012-12-27
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.70%,2012-12-28
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.80%,2013-01-09
Kynikos Associates LP,AFRICAN MINERALS LTD,BMG0114P1005,0.92%,2013-02-04
"AQR Capital Management, LLC",Aggreko PLC,GB00B4WQ2Z29,0.60%,2012-11-01
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.28%,2012-11-01
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.31%,2012-11-15
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.45%,2012-11-19
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.62%,2012-11-20
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.75%,2012-12-27
Lansdowne Partners Limited,Aggreko PLC,GB00B4WQ2Z29,2.88%,2013-01-02
BlackRock Investment Management (UK) Limited,AMLIN PLC,GB00B2988H17,0.51%,2012-11-15
BlackRock Investment Management (UK) Limited,Amlin plc,GB00B2988H17,0.47%,2013-01-28
Insight Investment Management (Global) Ltd,Amlin PLC,GB00B2988H17,0.66%,2012-11-01
Insight Investment Management (Global) Ltd,Amlin PLC,GB00B2988H17,0.66%,2012-11-01
Cazenove Capital Management Limited,APR Energy PLC,GB00B58D4C52,0.78%,2012-11-01
Ennismore Fund Management Limited,APR Energy PLC,GB00B58D4C52,0.51%,2012-11-20
JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.66%,2012-11-27
JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.70%,2013-01-23
JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.27%,2013-01-24
Lansdowne Partners Limited,APR Energy PLC,GB00B58D4C52,3.27%,2012-11-01
ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.77%,2012-11-01
ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.56%,2012-12-05
ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.64%,2013-01-10
Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.97%,2012-11-06
Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.70%,2013-01-04
Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.69%,2013-01-07
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.68%,2012-11-01
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.76%,2012-11-06
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.70%,2012-11-14
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.83%,2012-12-03
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.82%,2012-12-05
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.77%,2012-12-14
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.46%,2012-12-17
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.29%,2012-12-18
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.09%,2013-02-06
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.75%,2013-02-08
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.63%,2013-02-12
Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.16%,2013-02-14
"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.58%,2012-11-05
"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.65%,2012-11-06
"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.71%,2012-11-07
"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.00%,2012-11-12
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.72%,2012-11-01
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.69%,2012-11-06
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.59%,2012-12-06
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-03
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.50%,2013-01-10
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-11
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.50%,2013-01-24
Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-25
"BlackRock Institutional Trust Company, National Association",Ashtead Group plc,GB0000536739,0.58%,2012-11-01
Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.50%,2013-01-03
Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.49%,2013-01-09
Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.50%,2013-01-10
Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.48%,2013-01-17
Kynikos Associates LP,ASOS PLC,GB0030927254,2.52%,2012-11-01
Kynikos Associates LP,ASOS PLC,GB0030927254,2.23%,2012-12-12
Kynikos Associates LP,ASOS PLC,GB0030927254,2.18%,2012-12-13
Kynikos Associates LP,ASOS PLC,GB0030927254,2.07%,2012-12-17
Kynikos Associates LP,ASOS PLC,GB0030927254,1.99%,2013-01-09
Kynikos Associates LP,ASOS PLC,GB0030927254,2.03%,2013-01-11
Ennismore Fund Management Limited,Avanti Communications Group,GB00B1VCNQ84,1.65%,2012-11-01
Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.58%,2013-02-12
Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.78%,2013-02-13
Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.91%,2013-02-15
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.74%,2012-11-01
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.54%,2012-11-12
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.48%,2012-11-13
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.54%,2013-02-05
AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.67%,2013-02-07
BlackRock Investment Management (UK) Limited,Balfour Beatty plc,GB0000961622,0.50%,2012-11-01
BlackRock Investment Management (UK) Limited,Balfour Beatty plc,GB0000961622,0.48%,2012-11-08
