COUNTRY,HOLDER NAME,ISSUER,ISIN,NET SHORT POSITION (%),POSITION DATE
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.74,2012-11-01
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.54,2012-11-12
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.48,2012-11-13
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.54,2013-02-05
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.67,2013-02-07
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.76,2013-02-18
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.85,2013-02-19
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,BALFOUR BEATTY PLC,GB0000961622,0.92,2013-02-21
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,MARKS AND SPENCER GROUP PLC,GB0031274896,0.68,2012-11-01
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,MARKS AND SPENCER GROUP PLC,GB0031274896,0.71,2012-11-07
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,MARKS AND SPENCER GROUP PLC,GB0031274896,0.80,2012-11-09
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,MARKS AND SPENCER GROUP PLC,GB0031274896,0.94,2012-11-28
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,PACE PLC,GB0006672785,3.55,2012-11-01
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,PACE PLC,GB0006672785,3.83,2012-11-15
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,PACE PLC,GB0006672785,3.97,2012-11-16
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,PACE PLC,GB0006672785,4.05,2012-11-19
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,PACE PLC,GB0006672785,4.12,2012-11-20
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,VICTREX PLC,GB0009292243,2.00,2012-11-01
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,VICTREX PLC,GB0009292243,1.90,2012-11-21
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,VICTREX PLC,GB0009292243,1.74,2012-11-22
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,VICTREX PLC,GB0009292243,1.67,2013-01-03
UNITED KINGDOM,AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED,VICTREX PLC,GB0009292243,1.79,2013-02-05
UNITED KINGDOM,"ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.",LADBROKES PLC,GB00B0ZSH635,0.59,2013-02-06
UNITED KINGDOM,"ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.",LADBROKES PLC,GB00B0ZSH635,0.62,2013-02-07
UNITED KINGDOM,"ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.",LADBROKES PLC,GB00B0ZSH635,0.70,2013-02-11
UNITED KINGDOM,"ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.",LADBROKES PLC,GB00B0ZSH635,0.81,2013-02-20
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ADMIRAL GROUP PLC,GB00B02J6398,0.90,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ADMIRAL GROUP PLC,GB00B02J6398,0.79,2012-12-18
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ADMIRAL GROUP PLC,GB00B02J6398,0.69,2013-01-14
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",AGGREKO PLC,GB00B4WQ2Z29,0.60,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",BURBERRY GROUP PLC,GB0031743007,0.50,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",BURBERRY GROUP PLC,GB0031743007,0.49,2012-12-17
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",BURBERRY GROUP PLC,GB0031743007,0.51,2013-02-13
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",CAPITA PLC,GB00B23K0M20,0.80,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",CAPITA PLC,GB00B23K0M20,0.79,2012-12-17
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",CARNIVAL PLC,GB0031215220,0.50,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",CARNIVAL PLC,GB0031215220,0.49,2012-12-27
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",CARNIVAL PLC,GB0031215220,0.51,2013-01-15
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.50,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.39,2012-11-19
